ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
100,Aikanã,aika1237,,tba,,
5200,Baure,baur1253,,brg,,
6800,Atayal (Ci'uli),atay1247,,tay,,
6900,Atayal (Squliq),atay1247,,tay,,
7050,Seediq,taro1264,,trv,,
7600,Bunun,bunu1267,,bnn,,
8200,Amis,amis1246,,ami,,
8500,Kuvalan,kava1241,,ckv,,
8700,Siraya,sira1267,,fos,,
9000,Bali,bali1278,,ban,,
9500,Tukang Besi,tuka1249,,bhq,,
9900,Uma,umaa1242,,ppk,,
10600,Manggarai,mang1405,,mqy,,
11600,Buru,buru1303,,mhs,,
12600,Kambera,kamb1299,,xbr,,
13200,Eastern Fijian,fiji1243,,fij,,
13250,Hawaiian,hawa1245,,haw,,
13300,Maori,maor1246,,mri,,
13500,Rapanui,rapa1244,,rap,,
13700,Rotuman,rotu1241,,rtm,,
13800,Samoan,samo1305,,smo,,
13900,Tahitian,tahi1242,,tah,,
14000,Tongan,tong1325,,ton,,
14100,Trukese,chuu1238,,chk,,
14600,Kiribati,gilb1244,,gil,,
14800,Marshallese,mars1254,,mah,,
15100,Ponapean,pohn1238,,pon,,
16000,Cemuhî,cemu1238,,cam,,
16060,Paama,paam1238,,pma,,
16200,Irarutu,irar1238,,irh,,
16250,Sawai,sawa1247,,szw,,
16400,A'jië,ajie1238,,aji,,
18400,Kilivila,kili1267,,kij,,
19400,Motu,motu1246,,meu,,
20300,Lau,lauu1247,,llu,,
20900,Chamorro,cham1312,,cha,,
21200,Malagasy (Merina),,,mlg,,
21300,Ma'anyan,maan1238,,mhy,,
21500,Javanese,java1254,,jav,,
21700,Madurese,nucl1460,,mad,,
21900,Acehnese,achi1257,,ace,,
22000,Cham (Hainan),west2650,,cja,,
22100,Chru,chru1239,,cje,,
22200,Indonesian,indo1316,,ind,,
22700,Timugon,timu1262,,tih,,
22900,Batak Toba,bata1289,,bbc,,
23100,Agta,cent2084,,agt,,
23200,Casiguran Dumagat,casi1235,,dgc,,
23300,Aklanon,akla1241,,akl,,
23500,Pamplona (Atta),pamp1244,,att,,
23600,Balangaw,bala1310,,blw,,
23800,Sama,bala1311,,sse,,
24000,Palawan,bata1301,,bya,,
24200,Koronadal,koro1310,,bpr,,
24400,Binukid,binu1244,,bkd,,
24425,Cebuano,cebu1242,,ceb,,
24450,Eastern Bontok,,,ebk,,
24600,Gaddang,gadd1244,,gad,,
24700,Gorontalo,goro1259,,gor,,
24800,Guinaang,lubu1243,,knb,,
25000,Amganad,amga1235,,ifa,,
25100,Batad,bata1298,,ifb,,
25150,lokano,ilok1237,,ilo,,
25300,Kakiduge:n,ilon1239,,ilk,,
25400,Inibaloi,ibal1244,,ibl,,
25500,Isnag,isna1241,,isd,,
25700,Binongan,bino1237,,itb,,
25900,Ivatan (Batanes Islands),ivat1242,,ivv,,
26000,Ivatan (Itbayaten),ivat1242,,ivv,,
26200,Kalagan,kala1388,,kqe,,
26400,Guinaang,lubu1243,,knb,,
26700,Kayapa Proper,ahin1234,,kak,,
26800,Keleyqiq,kele1259,,ify,,
27000,Kankanay (Northern),nort2877,,xnn,,
27100,Mamanwa,mama1275,,mmn,,
27300,Ata,atam1240,,atd,,
27400,Dibabawon,diba1242,,mbd,,
27500,Kalamansig Cotabato,cota1241,,mta,,
27600,Ilianen,ilia1236,,mbi,,
27700,Sarangani,sara1327,,mbs,,
27800,Tigwa,mati1250,,mbt,,
27900,Western Bukidnon,west2555,,mbb,,
28100,Mansaka,mans1262,,msk,,
